school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
West Portal Elementary,28.03,22,65,46,590,17.443465077058875,40.799333756745284,39.21182431147416,28.7245220555843,15.961053058550572,52.64868662271105,6.4185990719953985,22.7473479529519
Sloat (Commodore) Elementary,25.42,29,72,11,361,22.993658510668514,45.19310816131785,9.376740596222081,25.13929144471924,22.308140409731234,61.31083683165007,0.04075317565103771,26.491967706690893
Marshall Elementary,38.32,84,20,15,245,66.6023212033157,12.553641155921627,12.786464449393748,39.636187002986695,80.9527684586995,9.100862502093854,0.12203492798267827,42.78210858686888
Carmichael (Bessie)/FEC,27.76,90,0,20,563,71.35962986069539,0.0,17.04861926585833,39.941969746812276,88.01264449056308,0.0,0.33751570803440817,44.09070117229014
S.F. International High,55.71,77,68,51,380,61.052127769706054,42.682379930133536,43.47397912793874,52.0651536493711,72.85084108832507,56.30792987402443,9.244984603333664,52.81364916350206
Webster (Daniel) Elementary,48.04,50,67,75,357,39.64423881149744,42.05469787233745,63.93232224696873,46.31887443557527,43.16903703999652,55.07921985749758,36.156814357877956,44.393527073842144
Downtown High,46.85,72,45,50,,57.087703888556305,28.245692600823663,42.62154816464582,46.260662135645525,67.15785300278631,30.44797826421864,8.619739934259066,43.34585605101258
King (Thomas Starr) Elementary,41.53,63,42,53,334,49.951740902486776,26.362646427435415,45.178841054524575,42.861242321733386,57.123466522191016,27.47493942218055,10.592075396481535,38.07848696576103
Wallenberg (Raoul) Traditional High,68.34,75,80,92,528,59.46635821724616,50.214564623686506,78.42364862294832,61.89273242028179,70.563944395965,71.72656611373232,74.46395275204004,71.82960191442558
Cobb (William L.) Elementary,49.82,44,99,34,137,34.88693015411775,62.140523721812045,28.982652751959158,40.22425919550167,36.973382203922014,98.51443277876378,2.203992923386583,43.6662975274986
San Francisco Public Montessori,21.61,20,82,10,105,15.857695524598977,51.46992873927867,8.524309632929166,22.927407355351445,14.219897155200298,74.4132364327131,0.02909297626983912,25.720530929845886
Parks (Rosa) Elementary,19.84,68,13,2,328,53.916164783636525,8.159866751349057,1.704861926585833,29.424264561301985,62.663165265133415,4.791484578691212,0.00009819336484542983,32.52947832558072
Lau (Gordon J.) Elementary,36.7,36,54,55,654,28.543851944278153,33.89483112098839,46.88370298111041,34.46655949766378,28.991398438039234,39.94629036318685,12.074453034607542,27.500885068468214
Tenderloin Community,26.73,74,15,7,284,58.67347344101621,9.41523086694122,5.967016743050416,33.18229862300601,69.42531250545882,5.929550383765263,0.008241798769449117,36.197104298363094
Lincoln (Abraham) High,62.09,83,22,97,2118,65.80943642708576,13.809005271513788,82.6858034394129,57.02842039127455,79.78627999306738,10.488785642362052,89.78877572969532,64.96253033954804
Hoover (Herbert) Middle,47.8,56,23,95,959,44.40154746887714,14.436687329309873,80.98094151282706,46.055180944972804,49.52462748502042,11.206622933230312,83.41150343168255,48.41684533373842
Ulloa Elementary,29.41,19,70,72,521,15.064810748369029,43.937744045725694,61.375029357089986,33.86059872488843,13.362847063617261,58.79189967550995,31.29662337960252,29.20355429558675
Stevenson (Robert Louis) Elementary,24.04,8,90,60,442,6.34307820983959,56.491385201647326,51.14585779757499,30.080849854725376,4.6840395100110355,85.47856136655606,16.42463863689627,27.817819755868598
