school_name,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent
Monroe Elementary,203,5,21,5,264,9,15,,,38.88888888888889,0.9578544061302682,4.022988505747127,0.9578544061302682,50.57471264367817,1.7241379310344827,2.8735632183908044,,
Revere (Paul) Elementary,7,37,17,18,350,15,10,3,6,1.511879049676026,7.991360691144708,3.6717062634989204,3.8876889848812093,75.5939524838013,3.2397408207343417,2.159827213822894,0.6479481641468683,1.2958963282937366
Parks (Rosa) Elementary,51,67,20,11,90,68,33,4,,14.825581395348838,19.476744186046513,5.813953488372093,3.1976744186046515,26.16279069767442,19.767441860465116,9.593023255813954,1.1627906976744187,
Redding Elementary,43,22,7,14,59,21,77,2,1,17.479674796747968,8.94308943089431,2.8455284552845526,5.691056910569105,23.983739837398375,8.536585365853659,31.300813008130078,0.8130081300813009,0.40650406504065045
Stevenson (Robert Louis) Elementary,309,1,25,12,26,28,36,1,,70.54794520547945,0.228310502283105,5.707762557077626,2.73972602739726,5.93607305936073,6.392694063926941,8.21917808219178,0.228310502283105,
Sanchez Elementary,9,19,7,9,204,7,17,,3,3.272727272727273,6.909090909090909,2.5454545454545454,3.272727272727273,74.18181818181819,2.5454545454545454,6.181818181818182,,1.090909090909091
Sheridan Elementary,25,30,8,16,78,20,11,2,,13.157894736842104,15.789473684210526,4.2105263157894735,8.421052631578947,41.05263157894737,10.526315789473683,5.7894736842105265,1.0526315789473684,
Sherman Elementary,39,26,27,9,53,25,100,2,1,13.829787234042554,9.219858156028367,9.574468085106384,3.1914893617021276,18.79432624113475,8.865248226950355,35.46099290780142,0.7092198581560284,0.3546099290780142
Malcolm X Academy,,65,4,1,9,19,2,5,,,61.904761904761905,3.8095238095238098,0.9523809523809524,8.571428571428571,18.095238095238095,1.9047619047619049,4.761904761904762,
Spring Valley Elementary,54,7,4,3,128,6,11,,1,25.233644859813083,3.2710280373831773,1.8691588785046727,1.4018691588785046,59.813084112149525,2.803738317757009,5.14018691588785,,0.46728971962616817
King (Thomas Starr) Elementary,98,37,22,6,50,78,37,7,,29.253731343283583,11.044776119402986,6.567164179104477,1.791044776119403,14.925373134328357,23.283582089552237,11.044776119402986,2.0895522388059704,
Sunnyside Elementary,45,9,13,21,74,46,135,7,,12.857142857142856,2.571428571428571,3.7142857142857144,6.0,21.142857142857142,13.142857142857142,38.57142857142858,2.0,
Sutro Elementary,178,3,8,4,15,16,24,,,71.7741935483871,1.2096774193548387,3.225806451612903,1.6129032258064515,6.048387096774194,6.451612903225806,9.67741935483871,,
Ulloa Elementary,393,4,18,20,32,28,25,1,,75.43186180422265,0.7677543186180422,3.45489443378119,3.8387715930902107,6.142034548944338,5.3742802303262955,4.798464491362764,0.19193857965451055,
Visitacion Valley Elementary,112,23,6,10,73,14,6,19,,42.585551330798474,8.745247148288973,2.2813688212927756,3.802281368821293,27.756653992395435,5.323193916349809,2.2813688212927756,7.224334600760455,
West Portal Elementary,346,9,26,8,43,58,100,,,58.644067796610166,1.5254237288135595,4.406779661016949,1.3559322033898304,7.288135593220339,9.830508474576272,16.94915254237288,,
Giannini (A.P.) Middle,569,37,57,39,138,126,222,5,,47.69488683989941,3.1014249790444257,4.777870913663034,3.269069572506287,11.5674769488684,10.561609388097235,18.608549874266554,0.4191114836546521,
Francisco Middle,266,27,25,9,112,25,44,2,1,52.054794520547944,5.283757338551859,4.892367906066536,1.761252446183953,21.91780821917808,4.892367906066536,8.610567514677104,0.3913894324853229,0.19569471624266144
